name,price,url,img
HÖVÅG ХОВОГ,10 499,https://www.ikea.com/ru/ru/p/hoevag-hovog-matras-s-pruzhinami-karmannogo-tipa-ochen-zhestkiy-temno-seryy-20477001/,https://www.ikea.com/ru/ru/images/products/hoevag-hovog-matras-s-pruzhinami-karmannogo-tipa-ochen-zhestkiy-temno-seryy__0786136_PE762891_S5.JPG?f=xxs
HAFSLO ХАФСЛО,5 999,https://www.ikea.com/ru/ru/p/hafslo-hafslo-pruzhinnyy-matras-zhestkiy-bezhevyy-60370545/,https://www.ikea.com/ru/ru/images/products/hafslo-pruzhinnyy-matras-zhestkiy-bezhevyy__0210689_PE364271_S5.JPG?f=xxs
HETLEVIK ХЭТЛЕВИК,8 999,https://www.ikea.com/ru/ru/p/hetlevik-hetlevik-pruzhinnyy-matras-zhestkiy-bezhevyy-40308286/,https://www.ikea.com/ru/ru/images/products/hetlevik-pruzhinnyy-matras-zhestkiy-bezhevyy__0428455_PE583562_S5.JPG?f=xxs
HAMARVIK ХАМАРВИК,7 999,https://www.ikea.com/ru/ru/p/hamarvik-hamarvik-pruzhinnyy-matras-zhestkiy-temno-bezhevyy-90369338/,https://www.ikea.com/ru/ru/images/products/hamarvik-pruzhinnyy-matras-zhestkiy-temno-bezhevyy__0210693_PE364275_S5.JPG?f=xxs
HAVÖYSUND ХАВЁЙСУНД,13 999,https://www.ikea.com/ru/ru/p/havoeysund-havyoysund-matras-s-pruzhinami-karmannogo-tipa-zhestkiy-temno-bezhevyy-60393194/,https://www.ikea.com/ru/ru/images/products/havoeysund-havyoysund-matras-s-pruzhinami-karmannogo-tipa-zhestkiy-temno-bezhevyy__0587083_PE672402_S5.JPG?f=xxs
HYLLESTAD ХИЛЛЕСТАД,21 999,https://www.ikea.com/ru/ru/p/hyllestad-hillestad-matras-s-pruzhinami-karmannogo-tipa-sredney-zhestkosti-belyy-50425807/,https://www.ikea.com/ru/ru/images/products/hyllestad-hillestad-matras-s-pruzhinami-karmannogo-tipa-sredney-zhestkosti-belyy__0190900_PE344626_S5.JPG?f=xxs
VADSÖ ВАДСО,5 499,https://www.ikea.com/ru/ru/p/vadsoe-vadso-pruzhinnyy-matras-ochen-zhestkiy-goluboy-20485807/,https://www.ikea.com/ru/ru/images/products/vadsoe-vadso-pruzhinnyy-matras-ochen-zhestkiy-goluboy__0898717_PE782605_S5.JPG?f=xxs
HORNINDAL ХОРНИНДАЛЬ,18 999,https://www.ikea.com/ru/ru/p/hornindal-hornindal-matras-s-pruzhinami-karmannogo-tipa-ochen-zhestkiy-temno-bezhevyy-90473523/,https://www.ikea.com/ru/ru/images/products/hornindal-matras-s-pruzhinami-karmannogo-tipa-ochen-zhestkiy-temno-bezhevyy__0834369_PE778267_S5.JPG?f=xxs
VATNESTRÖM ВАТНЕСТРЁМ,44 999,https://www.ikea.com/ru/ru/p/vatnestroem-vatnestryom-matras-s-pruzhinami-karmannogo-tipa-zhestkiy-neokrashennyy-40476406/,https://www.ikea.com/ru/ru/images/products/vatnestroem-vatnestryom-matras-s-pruzhinami-karmannogo-tipa-zhestkiy-neokrashennyy__0810694_PE771377_S5.JPG?f=xxs
HAREID ХАРЕИД,16 999,https://www.ikea.com/ru/ru/p/hareid-hareid-pruzhinnyy-matras-belyy-20276168/,https://www.ikea.com/ru/ru/images/products/hareid-pruzhinnyy-matras-belyy__0378530_PE554511_S5.JPG?f=xxs
HOKKÅSEN ХОККОСЕН,28 999,https://www.ikea.com/ru/ru/p/hokkasen-hokkosen-matras-s-pruzhinami-karmannogo-tipa-zhestkiy-belyy-20425875/,https://www.ikea.com/ru/ru/images/products/hokkasen-hokkosen-matras-s-pruzhinami-karmannogo-tipa-zhestkiy-belyy__0270629_PE415888_S5.jpg?f=xxs
HUSVIKA ХУСВИКА,4 999,https://www.ikea.com/ru/ru/p/husvika-husvika-pruzhinnyy-matras-zhestkiy-30345425/,https://www.ikea.com/ru/ru/images/products/husvika-pruzhinnyy-matras-zhestkiy__0641856_PE700743_S5.JPG?f=xxs
